state,joint,prior,likelihood,treeModel.rootHeight,age(root),treeLength,tmrca(Kassala_2018),tmrca(Kassala_2019),age(Kassala_2018),age(Kassala_2019),constant.popSize,kappa,frequencies1,frequencies2,frequencies3,frequencies4,alpha,ucld.mean,ucld.stdev,meanRate,coefficientOfVariation,covariance,treeLikelihood,branchRates,coalescent
6790000,-27768.795406621863,-3208.3088714856776,-24560.486535136184,16.925568678893445,2003.027855978641,124.49841766170093,2.6478610327064214,1.4288011521252435,2017.3055636248278,2018.524623505409,3.3515759652079424,13.368612321584845,0.28621867887513086,0.25516938955697954,0.24918393421701904,0.2094279973508708,0.12311297407919594,8.553914486851349E-4,8.962306582079208E-4,7.731787360325235E-4,0.9941629734004328,0.1888661969826306,-24560.486535136184,-2720.7422526009486,-490.4101076754713
6800000,-27756.361771855733,-3215.033706341556,-24541.328065514175,16.493738233597156,2003.459686423937,125.50918288578347,2.856775131597681,1.5461987660371659,2017.0966495259365,2018.407225891497,3.565574415499898,11.248202831170712,0.2818748281624754,0.2558657274299888,0.25173738208214264,0.2105220623253934,0.028098033996454927,8.201142038106418E-4,9.67948519277826E-4,7.471540691067997E-4,1.1169768589749256,0.17226047225774135,-24541.328065514175,-2720.7422526009486,-497.63074590180304
6810000,-27762.52066594541,-3224.5891677997683,-24537.93149814564,16.59934459892046,2003.3540800586138,130.44223701544138,2.9119636468373007,1.3209274851582808,2017.041461010697,2018.632497172376,3.2331380376873784,10.123501277317896,0.2872161724454468,0.2610027175209511,0.24700887450032705,0.20477223553327537,0.12036169285833934,8.814667311944103E-4,0.0010917502933172386,7.883362460839302E-4,1.13269556903981,0.15505919060604467,-24537.93149814564,-2720.7422526009486,-507.26788827706974
6820000,-27751.45091253957,-3210.519781284155,-24540.931131255416,16.995469395753975,2002.9579552617802,127.17692227306917,2.5799132648452754,1.7238871698151341,2017.373511392689,2018.2295374877192,3.3565720427366204,11.072042162592007,0.28516546802630127,0.25460346205657575,0.2502810084132359,0.2099500615038875,0.014528028850548316,8.433272607268458E-4,0.00108474087798227,7.208843037888075E-4,1.1531306293254362,0.11253655293685667,-24540.931131255416,-2720.7422526009486,-493.22239299535073
6830000,-27762.707110251056,-3215.4588234710923,-24547.248286779963,17.69084808934041,2002.262576568194,126.98029139534337,2.9157157918628456,1.2844185629335627,2017.0377088656714,2018.6690060946007,2.9605462359928283,10.690291224763468,0.2871354566432169,0.2535268146433012,0.250846064377288,0.20849166433619443,0.08119273520933395,9.096743435882856E-4,0.0013222050405030385,7.788244010072211E-4,1.2273994825983738,0.12926812418773181,-24547.248286779963,-2720.7422526009486,-498.1722721948816
6840000,-27774.636584116146,-3225.188741954236,-24549.44784216191,18.99487686080602,2000.9585477967282,134.35213681489225,2.858091269028876,1.799950899938963,2017.0953333885054,2018.1534737575953,3.5821509598166985,11.46527290274095,0.2847463962602507,0.26574656228428634,0.23966403008772053,0.20984301136774292,0.09077731672894336,8.34434619984004E-4,0.0011763954329054133,7.033870956357061E-4,1.2225022443190743,0.1516061791674886,-24549.44784216191,-2720.7422526009486,-507.6347654417586
6850000,-27767.88640936324,-3209.0408078018568,-24558.845601561385,17.168903374950187,2002.7845212825841,129.40471080165784,3.165269689690699,1.6778362004411718,2016.7881549678436,2018.2755884570931,2.8666150003049036,10.403679407649744,0.2836811979057313,0.25617857909399305,0.2515738950737121,0.208566327926564,0.1026570507973596,8.300638716238688E-4,0.0011990574412733762,7.157882106058807E-4,1.2746615912487993,0.1275016750360039,-24558.845601561385,-2720.7422526009486,-491.8580410774754
6860000,-27771.172581652776,-3223.4127049223007,-24547.759876730477,16.377659051012806,2003.5757656065214,132.63906259417507,2.9301366837682363,1.6820159660375869,2017.023287973766,2018.2714086914966,3.395246576456574,10.876569233095962,0.2847197564388021,0.25248070459092736,0.24657750098196915,0.21622203798830186,0.13384320080224216,8.635688994013518E-4,0.0012271235436006945,7.189388174803133E-4,1.266925396455485,0.17139646330015362,-24547.759876730477,-2720.7422526009486,-505.90039978766765
6870000,-27791.21592724794,-3252.627141724796,-24538.588785523145,16.408132740077725,2003.5452919174566,138.58366892197333,3.301673974528136,1.7635736459263303,2016.6517506830062,2018.189851011608,4.396614006836795,11.979258658792647,0.28679782197396575,0.26062821434767436,0.24372173680426962,0.20885222687409075,0.018326683285005953,8.277271117543371E-4,0.0013214277369715663,6.97659003779293E-4,1.3798616945529072,0.22538745427405338,-24538.588785523145,-2720.7422526009486,-534.9448329489526
6880000,-27804.613191737273,-3249.9223566828523,-24554.69083505442,16.572971984409524,2003.3804526731246,140.57094092588355,3.215626977595036,1.4922929875296655,2016.7377976799391,2018.4611316700045,3.7743458968731316,10.008120901038906,0.29182561622777803,0.2541153713556393,0.24953064843309947,0.2045283639834837,0.10332132694156126,7.408991386587984E-4,9.171479102647193E-4,6.941340469942608E-4,1.1450543936659716,0.17659747414294036,-24554.69083505442,-2720.7422526009486,-532.6370583509942
